device,caseName,description,topology,calibrationMode,gammaW,pW,meanW,minW,activeWeakLinkFraction,normalScaleApplied,shapeScore,shapeFullMap,shapeLowBias,shapeZeroBias,shapeAsymmetry,conductanceScore,conductanceFullMap,conductanceLowBias,conductanceZeroBias,conductanceAsymmetry,modelRN_top_4_10,modelRN_bottom_3_9,seed,sourceVersion,sourceRole,sourceFile
AS006,combined_g0_01_p0_08,"combined physical bottleneck, \gamma_W=0.01, p_W=0.08",combined,conductance,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,144.977968925041,0.196774733507609,0.212236854073828,0.299483796363603,0.156958474560395,0.0513420766274189,0.197209956834903,0.215249581580879,0.302624319532136,0.154607144667594,0.047948712577904,248.17537673517,244.755590410305,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,combined_g0_03_p0_08,"combined physical bottleneck, \gamma_W=0.03, p_W=0.08",combined,conductance,0.03,0.08,0.922230936819171,0.03,0.0801742919389978,146.726419003131,0.198039178597996,0.216866541506363,0.300780820532379,0.156241135921253,0.051661495650386,0.198262367007832,0.219959468441447,0.303943641815636,0.15381549747613,0.0471816215751859,247.276169218124,245.607884712663,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,combined_g0_003_p0_03,"combined physical bottleneck, \gamma_W=0.003, p_W=0.03",combined,conductance,0.003,0.03,0.970024836601307,0.003,0.0300653594771242,165.78439007266,0.20216061592362,0.240012681059404,0.301955260667398,0.15616801594772,0.0471586724560992,0.210360190386111,0.259916776973137,0.321894247453506,0.144870384903839,0.0474812607839826,242.079215745321,234.92455576245,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,combined_g0_01_p0_03,"combined physical bottleneck, \gamma_W=0.01, p_W=0.03",combined,conductance,0.01,0.03,0.970235294117647,0.01,0.0300653594771242,166.070277247896,0.20233733646369,0.240682724079233,0.302319395956598,0.155889460277826,0.0470831899678894,0.210263717108798,0.260023123989528,0.321692489404556,0.14491081210904,0.0471950899601905,242.116046085257,235.411789691875,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,anisotropic_g0_003_p0_03,"anisotropic weak transparency, \gamma_W=0.003, p_W=0.03",anisotropic,conductance,0.003,0.03,0.970024836601307,0.003,0.0300653594771242,165.78439007266,0.202686190183304,0.23500404044983,0.303158028917401,0.155865463692763,0.0530685302452865,0.198931581709362,0.223555941387166,0.290474944456788,0.165683950443846,0.05566587630546,248.609426687447,260.45160949416,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,anisotropic_g0_01_p0_03,"anisotropic weak transparency, \gamma_W=0.01, p_W=0.03",anisotropic,conductance,0.01,0.03,0.970235294117647,0.01,0.0300653594771242,166.070277247896,0.202745563760912,0.235458103313934,0.303248195816691,0.155776532273233,0.0528647074698772,0.199085529835694,0.224268366927863,0.29084828631668,0.165344811683642,0.0554937665918627,248.579274423931,260.176195588457,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,combined_g0_03_p0_03,"combined physical bottleneck, \gamma_W=0.03, p_W=0.03",combined,conductance,0.03,0.03,0.970836601307189,0.03,0.0300653594771242,166.829820831959,0.202820549520788,0.242461709908426,0.303262248449248,0.15518408199285,0.0469520004182667,0.210248944887526,0.260666196424096,0.32149158345453,0.144907179223417,0.0468342829388357,242.168657744464,236.424852547494,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,anisotropic_g0_03_p0_03,"anisotropic weak transparency, \gamma_W=0.03, p_W=0.03",anisotropic,conductance,0.03,0.03,0.97083660130719,0.03,0.0300653594771242,166.829820831959,0.202911937118359,0.236946437903808,0.303724053747412,0.155345728355098,0.0519139931861445,0.1995574434115,0.226380439757419,0.292024952345382,0.164293118152059,0.0549967130055906,248.700092438842,259.291372023685,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,tear_lane_g0_003_p0_08,"tear-like interrupted lane, \gamma_W=0.003, p_W=0.08",tear_lane,conductance,0.003,0.08,0.920066230936818,0.003,0.0801742919389978,144.254072451089,0.203049082808777,0.232275211794935,0.307481206767204,0.153282520869639,0.0532749393192918,0.208736142132062,0.239987789393251,0.314453746929945,0.15012666043286,0.0657405385985832,236.776832354921,252.839421970034,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,tear_lane_g0_01_p0_08,"tear-like interrupted lane, \gamma_W=0.01, p_W=0.08",tear_lane,conductance,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,144.977968925041,0.204008206572455,0.233722134491473,0.308484586929704,0.152856107949766,0.0554007363066143,0.208672898808679,0.240096147333597,0.314046545297056,0.150338662505809,0.065763564307691,236.621703914559,254.40328210006,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
