device,sourceVersion,sourceRole,caseName,topology,linkClass,calibrationMode,seed,mechanism,primaryRTScore,transitionScore,probeAsymmetryScore,heldoutScore,parameterCount,complexityPenalty,objectiveScore,hasBothProbePairs,hasHeldoutDiagnostic
AS006,v7.4.6,gap_tied_weak_links,combined_a3_3_g0_01_p0_03,combined,boundary_constriction,shape,NaN,gap-tied weak links,0.207336571535405,0.229073805553615,0.0498608367314527,0.212236205808676,4,0.1,0.508132257275664,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a3_3_g0_003_p0_03,combined,boundary_constriction,conductance,NaN,gap-tied weak links,0.207289668894804,0.229077093501247,0.0498984614810484,0.212523332350959,4,0.1,0.508151043643807,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a3_3_g0_003_p0_03,combined,boundary_constriction,shape,NaN,gap-tied weak links,0.207289668894804,0.229077093501247,0.0498984614810484,0.212523332350959,4,0.1,0.508151043643807,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a3_7_g0_03_p0_03,combined,boundary_constriction,conductance,NaN,gap-tied weak links,0.208597804593985,0.229268796920068,0.0498118124253937,0.21310348870665,4,0.1,0.509605310879991,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a3_7_g0_03_p0_03,combined,boundary_constriction,shape,NaN,gap-tied weak links,0.208597804593985,0.229268796920068,0.0498118124253937,0.21310348870665,4,0.1,0.509605310879991,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a3_7_g0_01_p0_03,combined,boundary_constriction,conductance,NaN,gap-tied weak links,0.20855517599594,0.229272882019298,0.0504387182883078,0.213497151694697,4,0.1,0.509997640699938,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a3_7_g0_01_p0_03,combined,boundary_constriction,shape,NaN,gap-tied weak links,0.20855517599594,0.229272882019298,0.0504387182883078,0.213497151694697,4,0.1,0.509997640699938,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a3_7_g0_003_p0_03,combined,boundary_constriction,conductance,NaN,gap-tied weak links,0.208517338662579,0.229278115481474,0.0505059303498042,0.213781146135107,4,0.1,0.510043921056646,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a3_7_g0_003_p0_03,combined,boundary_constriction,shape,NaN,gap-tied weak links,0.208517338662579,0.229278115481474,0.0505059303498042,0.213781146135107,4,0.1,0.510043921056646,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_3_g0_01_p0_03,tear_lane,crack_tunnel,shape,NaN,gap-tied weak links,0.210129645030849,0.230252528679527,0.0473942795606019,0.213432857783314,4,0.1,0.510324030276412,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_3_g0_003_p0_03,tear_lane,crack_tunnel,shape,NaN,gap-tied weak links,0.210144524897297,0.230286523091016,0.0474383937722347,0.213419298967717,4,0.1,0.510383834195177,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_3_g0_03_p0_03,tear_lane,crack_tunnel,shape,NaN,gap-tied weak links,0.210289783895589,0.230246876924008,0.0473525686334739,0.213625011226134,4,0.1,0.510483258475222,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a4_1_g0_03_p0_03,combined,boundary_constriction,conductance,NaN,gap-tied weak links,0.209310735736507,0.229374213179624,0.0504344276300106,0.213867908888994,4,0.1,0.510864492261718,1,1
