B_T,shared_flux_quanta,shared_phase_envelope,R1_R2_shared_phase_state,independent_channel_periods,independent_channel_loop_geometry,manual_period_fit
-0.05,-48.3597848525014,0.426390772114001,1,0,0,0
-0.0499,-48.2630652827964,0.67749560108644,1,0,0,0
-0.0498,-48.1663457130913,0.866529116160979,1,0,0,0
-0.0497,-48.0696261433863,0.976172299129054,1,0,0,0
-0.0496,-47.9729065736813,0.996379776388439,1,0,0,0
-0.0495,-47.8761870039763,0.925300163720504,1,0,0,0
-0.0494,-47.7794674342713,0.769445687835749,1,0,0,0
-0.0493,-47.6827478645663,0.543095544170319,1,0,0,0
-0.0492,-47.5860282948613,0.26698765455837,1,0,0,0
-0.0491,-47.4893087251563,0.0335813156663594,1,0,0,0
-0.049,-47.3925891554513,0.331073607042563,1,0,0,0
-0.0489,-47.2958695857463,0.598233341641839,1,0,0,0
-0.0488,-47.1991500160413,0.810583673089711,1,0,0,0
-0.0487,-47.1024304463363,0.948669325132748,1,0,0,0
-0.0486,-47.0057108766313,0.999839060125962,1,0,0,0
-0.0485,-46.9089913069263,0.959404769869479,1,0,0,0
-0.0484,-46.8122717372213,0.831070994317093,1,0,0,0
-0.0483,-46.7155521675163,0.626595516180963,1,0,0,0
-0.0482,-46.6188325978113,0.364712127337348,1,0,0,0
-0.0481,-46.5221130281063,0.0694142618505654,1,0,0,0
-0.048,-46.4253934584013,0.232243252952599,1,0,0,0
-0.0479,-46.3286738886963,0.512622926495155,1,0,0,0
-0.0478,-46.2319543189913,0.74603671785229,1,0,0,0
-0.0477,-46.1352347492863,0.911099542474112,1,0,0,0
-0.0476,-46.0385151795813,0.992688547336125,1,0,0,0
-0.0475,-45.9417956098763,0.983328648137696,1,0,0,0
-0.0474,-45.8450760401713,0.883877387334131,1,0,0,0
-0.0473,-45.7483564704663,0.703446367151287,1,0,0,0
-0.0472,-45.6516369007613,0.458566455793676,1,0,0,0
-0.0471,-45.5549173310563,0.171673249626527,1,0,0,0
-0.047,-45.4581977613513,0.130948448575634,1,0,0,0
-0.0469,-45.3614781916463,0.421572810938398,1,0,0,0
-0.0468,-45.2647586219413,0.673573190744435,1,0,0,0
-0.0467,-45.1680390522363,0.86386162306495,1,0,0,0
-0.0466,-45.0713194825313,0.975004115716433,1,0,0,0
-0.0465,-44.9745999128263,0.996817930187046,1,0,0,0
-0.0464,-44.8778803431213,0.927304511618064,1,0,0,0
-0.0463,-44.7811607734163,0.772832593942546,1,0,0,0
-0.0462,-44.6844412037112,0.547554704313468,1,0,0,0
-0.0461,-44.5877216340063,0.272110525968722,1,0,0,0
-0.046,-44.4910020643012,0.0282640841681205,1,0,0,0
-0.0459,-44.3942824945962,0.326049173668069,1,0,0,0
-0.0458,-44.2975629248912,0.593962038798655,1,0,0,0
-0.0457,-44.2008433551862,0.807456832292151,1,0,0,0
-0.0456,-44.1041237854812,0.946973423689797,1,0,0,0
-0.0455,-44.0074042157762,0.999729474442497,1,0,0,0
-0.0454,-43.9106846460712,0.960891540051058,1,0,0,0
-0.0453,-43.8139650763662,0.834017904307884,1,0,0,0
-0.0452,-43.7172455066612,0.630732573711232,1,0,0,0
-0.0451,-43.6205259369562,0.369660300283224,1,0,0,0
-0.045,-43.5238063672512,0.074720204691253,1,0,0,0
-0.0449,-43.4270867975462,0.227065664175806,1,0,0,0
-0.0448,-43.3303672278412,0.508048056099457,1,0,0,0
-0.0447,-43.2336476581362,0.742483709837883,1,0,0,0
-0.0446,-43.1369280884312,0.908893919066366,1,0,0,0
-0.0445,-43.0402085187262,0.992032385039539,1,0,0,0
-0.0444,-42.9434889490212,0.984282063735048,1,0,0,0
-0.0443,-42.8467693793162,0.886353030060743,1,0,0,0
-0.0442,-42.7500498096112,0.707217421664709,1,0,0,0
-0.0441,-42.6533302399062,0.463287422716378,1,0,0,0
-0.044,-42.5566106702012,0.176911599774145,1,0,0,0
-0.0439,-42.4598911004962,0.125672646402355,1,0,0,0
-0.0438,-42.3631715307912,0.416742919247226,1,0,0,0
-0.0437,-42.2664519610862,0.669631718273152,1,0,0,0
-0.0436,-42.1697323913812,0.861169682674769,1,0,0,0
-0.0435,-42.0730128216762,0.973808339675792,1,0,0,0
-0.0434,-41.9762932519712,0.997227874026421,1,0,0,0
-0.0433,-41.8795736822662,0.92928261678698,1,0,0,0
-0.0432,-41.7828541125612,0.776197628877761,1,0,0,0
-0.0431,-41.6861345428562,0.551998368652022,1,0,0,0
-0.043,-41.5894149731512,0.277225696647966,1,0,0,0
-0.0429,-41.4926954034462,0.0229460527959931,1,0,0,0
-0.0428,-41.3959758337412,0.321015513098125,1,0,0,0
-0.0427,-41.2992562640362,0.589673926822714,1,0,0,0
-0.0426,-41.2025366943312,0.804307140456672,1,0,0,0
-0.0425,-41.1058171246262,0.945250722887745,1,0,0,0
-0.0424,-41.0090975549211,0.99959159640306,1,0,0,0
-0.0423,-40.9123779852161,0.962351116990671,1,0,0,0
-0.0422,-40.8156584155111,0.836941211582088,1,0,0,0
-0.0421,-40.7189388458061,0.634851781502182,1,0,0,0
-0.042,-40.6222192761011,0.374598011838249,1,0,0,0
-0.0419,-40.5254997063961,0.0800240329492344,1,0,0,0
-0.0418,-40.4287801366911,0.221881649438069,1,0,0,0
-0.0417,-40.3320605669861,0.503458807937728,1,0,0,0
-0.0416,-40.2353409972811,0.738909689525701,1,0,0,0
-0.0415,-40.1386214275761,0.906662573949944,1,0,0,0
-0.0414,-40.0419018578711,0.991348148214705,1,0,0,0
-0.0413,-39.9451822881661,0.98520762413834,1,0,0,0
-0.0412,-39.8484627184611,0.888803588986104,1,0,0,0
-0.0411,-39.7517431487561,0.710968461916689,1,0,0,0
-0.041,-39.6550235790511,0.467995278599553,1,0,0,0
-0.0409,-39.5583040093461,0.182144943321408,1,0,0,0
-0.0408,-39.4615844396411,0.120393287691693,1,0,0,0
-0.0407,-39.3648648699361,0.411901233726515,1,0,0,0
-0.0406,-39.2681453002311,0.665671295216298,1,0,0,0
-0.0405,-39.1714257305261,0.858453371172366,1,0,0,0
-0.0404,-39.0747061608211,0.972585004847599,1,0,0,0
-0.0403,-38.9779865911161,0.997609596305146,1,0,0,0
-0.0402,-38.8812670214111,0.931234423246828,1,0,0,0
-0.0401,-38.7845474517061,0.779540697410874,1,0,0,0
-0.04,-38.6878278820011,0.556426411430204,1,0,0,0
-0.0399,-38.5911083122961,0.282333021836724,1,0,0,0
-0.0398,-38.4943887425911,0.0176273720502998,1,0,0,0
-0.0397,-38.3976691728861,0.315972767785343,1,0,0,0
-0.0396,-38.3009496031811,0.585369127067681,1,0,0,0
-0.0395,-38.2042300334761,0.801134686719572,1,0,0,0
-0.0394,-38.1075104637711,0.943501271479043,1,0,0,0
-0.0393,-38.0107908940661,0.999425429909603,1,0,0,0
-0.0392,-37.9140713243611,0.963783459382276,1,0,0,0
-0.0391,-37.8173517546561,0.839840833410105,1,0,0,0
-0.039,-37.7206321849511,0.638953022980184,1,0,0,0
-0.0389,-37.6239126152461,0.379525122265087,1,0,0,0
-0.0388,-37.5271930455411,0.0853255965261635,1,0,0,0
-0.0387,-37.430473475836,0.21669135544701,1,0,0,0
-0.0386,-37.3337539061311,0.49885531188577,1,0,0,0
-0.0385,-37.237034336426,0.735314758060524,1,0,0,0
-0.0384,-37.140314766721,0.904405570271943,1,0,0,0
-0.0383,-37.043595197016,0.990635856225533,1,0,0,0
-0.0382,-36.946875627311,0.986105303154191,1,0,0,0
-0.0381,-36.850156057606,0.89122899475938,1,0,0,0
-0.038,-36.753436487901,0.714699381752785,1,0,0,0
-0.0379,-36.656716918196,0.472689890210799,1,0,0,0
-0.0378,-36.559997348491,0.187373132164617,1,0,0,0
-0.0377,-36.463277778786,0.115110521849549,1,0,0,0
-0.0376,-36.366558209081,0.40704789139601,1,0,0,0
-0.0375,-36.269838639376,0.661692033653914,1,0,0,0
-0.0374,-36.173119069671,0.855712765429374,1,0,0,0
-0.0373,-36.076399499966,0.971334145852247,1,0,0,0
-0.0372,-35.979679930261,0.997963086220478,1,0,0,0
-0.0371,-35.882960360556,0.933159875761465,1,0,0,0
-0.037,-35.786240790851,0.782861704933043,1,0,0,0
-0.0369,-35.689521221146,0.560838707334327,1,0,0,0
-0.0368,-35.592801651441,0.287432356997605,1,0,0,0
-0.0367,-35.496082081736,0.0123081924497402,1,0,0,0
-0.0366,-35.399362512031,0.31092108043949,1,0,0,0
-0.0365,-35.302642942326,0.581047761359405,1,0,0,0
-0.0364,-35.205923372621,0.797939560861364,1,0,0,0
-0.0363,-35.109203802916,0.941725118973165,1,0,0,0
-0.0362,-35.012484233211,0.99923097966464,1,0,0,0
-0.0361,-34.915764663506,0.965188526690563,1,0,0,0
-0.036,-34.819045093801,0.842716687732563,1,0,0,0
-0.0359,-34.722325524096,0.643036182080087,1,0,0,0
-0.0358,-34.625605954391,0.384441492126457,1,0,0,0
-0.0357,-34.528886384686,0.0906247453876719,1,0,0,0
-0.0356,-34.432166814981,0.211494929087997,1,0,0,0
-0.0355,-34.335447245276,0.494237698222613,1,0,0,0
-0.0354,-34.238727675571,0.731699017178991,1,0,0,0
-0.0353,-34.142008105866,0.902122971905572,1,0,0,0
-0.0352,-34.045288536161,0.989895529229892,1,0,0,0
-0.0351,-33.948568966456,0.986975075378287,1,0,0,0
-0.035,-33.8518493967509,0.893629178741533,1,0,0,0
-0.0349,-33.7551298270459,0.718410075587929,1,0,0,0
-0.0348,-33.6584102573409,0.477371124692515,1,0,0,0
-0.0347,-33.5616906876359,0.192596018345952,1,0,0,0
-0.0346,-33.4649711179309,0.109824498378288,1,0,0,0
-0.0345,-33.3682515482259,0.402183029605344,1,0,0,0
-0.0344,-33.2715319785209,0.657694046199118,1,0,0,0
-0.0343,-33.1748124088159,0.852947943005005,1,0,0,0
-0.0342,-33.0780928391109,0.97005579808906,1,0,0,0
-0.0341,-32.9813732694059,0.998288333768646,1,0,0,0
-0.034,-32.8846536997009,0.935058919840558,1,0,0,0
-0.0339,-32.7879341299959,0.786160557459669,1,0,0,0
-0.0338,-32.6912145602909,0.565235131496388,1,0,0,0
-0.0337,-32.5944949905859,0.292523557819406,1,0,0,0
-0.0336,-32.4977754208809,0.00698866452723107,1,0,0,0
-0.0335,-32.4010558511759,0.305860594023363,1,0,0,0
-0.0334,-32.3043362814709,0.576709951992588,1,0,0,0
-0.0333,-32.2076167117659,0.79472185330413,1,0,0,0
-0.0332,-32.1108971420609,0.939922315635274,1,0,0,0
-0.0331,-32.0141775723559,0.999008251171115,1,0,0,0
-0.033,-31.9174580026509,0.96656627915211,1,0,0,0
-0.0329,-31.8207384329459,0.84556869316279,1,0,0,0
-0.0328,-31.7240188632409,0.647101143248409,1,0,0,0
-0.0327,-31.6272992935359,0.389346982289058,1,0,0,0
-0.0326,-31.5305797238309,0.0959213295678121,1,0,0,0
-0.0325,-31.4338601541259,0.206292517419999,1,0,0,0
-0.0324,-31.3371405844209,0.489606097626704,1,0,0,0
-0.0323,-31.2404210147159,0.728062569206605,1,0,0,0
-0.0322,-31.1437014450109,0.899814843448414,1,0,0,0
-0.0321,-31.0469818753059,0.989127188179054,1,0,0,0
-0.032,-30.9502623056009,0.987816916196055,1,0,0,0
-0.0319,-30.8535427358959,0.896004073007341,1,0,0,0
