device,raw_label,candidate_file,source_sha256,same_checksum_count,same_device_recovered_count,resolution,retained_role
AS001,ASD088,/Users/asewaket/Documents/Thesis/Raw Transport Data/ASD088_dVdIvIvT_0069.dat,f5d233d25b2e022fa7b39b9a8e10716b6f1222cb54b26e79949a4701b0fe1e27,2,2,selected_primary_source,selected_for_canonical_grid
AS001,ASD088,/Users/asewaket/Documents/Thesis/Raw Transport Data/2023_5_26_ASD087/data/ASD088_dVdIvIvT_0069.dat,f5d233d25b2e022fa7b39b9a8e10716b6f1222cb54b26e79949a4701b0fe1e27,2,2,duplicate_export_same_checksum,documented_not_selected
AS004,ASD087,/Users/asewaket/Documents/Thesis/Raw Transport Data/2023_5_26_ASD087/data/ASD087_dVdIvIvT_0061.dat,91dbb59f7ddae4074ae4dc35ca33b47eac026e91499c0d8ac5e534ea0a4b64ff,1,1,selected_primary_source,selected_for_canonical_grid
