source,policy,n_realizations,status,mean_interval_width
disorder_realization,median_and_16_84_interval_from_frozen_seed_ensemble,30,completed,0.00679974600728373
shared_parameter_uncertainty,captured_by_LODO_selected_parameter_spread,6,completed_from_fold_spread,NaN
normalization_window,not_resampled_in_execution; normalized curves use frozen policy,0,predeclared_not_sampled,NaN
measured_input_uncertainty,not_resampled_in_execution; frozen device inputs consumed,0,predeclared_not_sampled,NaN
numerical_resolution,not_resampled_in_execution; Phase 8 tolerance context retained,0,predeclared_not_sampled,NaN
