parameter,grid_index,theta_value,profile_objective,objective_delta,support
Tc_heterogeneity_amplitude,34,1.54625,0.0385738770184209,0.0385732123388549,1
Tc_heterogeneity_amplitude,35,1.5825,0.0446474015123293,0.0446467368327632,1
Tc_heterogeneity_amplitude,36,1.61875,0.0511736443407523,0.0511729796611863,1
Tc_heterogeneity_amplitude,37,1.655,0.0588575059769272,0.0588568412973611,1
Tc_heterogeneity_amplitude,38,1.69125,0.0678792576798584,0.0678785930002924,1
Tc_heterogeneity_amplitude,39,1.7275,0.077995976390871,0.077995311711305,1
Tc_heterogeneity_amplitude,40,1.76375,0.0891542922559101,0.0891536275763441,1
Tc_heterogeneity_amplitude,41,1.8,0.1013367853321,0.101336120652534,1
W_boundary_class,1,0,0.0112928789937039,0.0112928789937039,1
W_boundary_class,2,0.05,0.0101918232944666,0.0101918232944666,1
W_boundary_class,3,0.1,0.00914723198993148,0.00914723198993148,1
W_boundary_class,4,0.15,0.00815910508009918,0.00815910508009918,1
W_boundary_class,5,0.2,0.0072274425645374,0.0072274425645374,1
W_boundary_class,6,0.25,0.00635224444343664,0.00635224444343664,1
W_boundary_class,7,0.3,0.00553351071712225,0.00553351071712225,1
W_boundary_class,8,0.35,0.00477124138559427,0.00477124138559427,1
W_boundary_class,9,0.4,0.00406543644885277,0.00406543644885277,1
W_boundary_class,10,0.45,0.00341609590689766,0.00341609590689766,1
W_boundary_class,11,0.5,0.00282321975972897,0.00282321975972897,1
W_boundary_class,12,0.55,0.00228680800655117,0.00228680800655117,1
W_boundary_class,13,0.6,0.00180686064807004,0.00180686064807004,1
W_boundary_class,14,0.65,0.0013833776845907,0.0013833776845907,1
W_boundary_class,15,0.7,0.00101635911601131,0.00101635911601131,1
W_boundary_class,16,0.75,0.000705804940401027,0.000705804940401027,1
W_boundary_class,17,0.8,0.000451715161200155,0.000451715161200155,1
W_boundary_class,18,0.85,0.000254089778175091,0.000254089778175091,1
W_boundary_class,19,0.9,0.000112928790300039,0.000112928790300039,1
W_boundary_class,20,0.95,2.82321975750098e-05,2.82321975750098e-05,1
W_boundary_class,21,1,0,0,1
W_boundary_class,22,1.05,2.823219757501e-05,2.823219757501e-05,1
W_boundary_class,23,1.1,0.000112928790300039,0.000112928790300039,1
W_boundary_class,24,1.15,0.000254089778175091,0.000254089778175091,1
W_boundary_class,25,1.2,0.000451715161200153,0.000451715161200153,1
W_boundary_class,26,1.25,0.000705804940401025,0.000705804940401025,1
W_boundary_class,27,1.3,0.00101635911601131,0.00101635911601131,1
W_boundary_class,28,1.35,0.00138337768459067,0.00138337768459067,1
W_boundary_class,29,1.4,0.00180686064806997,0.00180686064806997,1
W_boundary_class,30,1.45,0.00228680800655116,0.00228680800655116,1
W_boundary_class,31,1.5,0.00282321975972901,0.00282321975972901,1
W_boundary_class,32,1.55,0.0034160959068977,0.0034160959068977,1
W_boundary_class,33,1.6,0.00406543644885282,0.00406543644885282,1
W_boundary_class,34,1.65,0.00477124138559426,0.00477124138559426,1
W_boundary_class,35,1.7,0.00553351071712218,0.00553351071712218,1
W_boundary_class,36,1.75,0.00635224444343655,0.00635224444343655,1
W_boundary_class,37,1.8,0.00722744256453747,0.00722744256453747,1
W_boundary_class,38,1.85,0.00815910508009903,0.00815910508009903,1
W_boundary_class,39,1.9,0.00914723198993159,0.00914723198993159,1
W_boundary_class,40,1.95,0.0101918232944664,0.0101918232944664,1
W_boundary_class,41,2,0.0112928789937041,0.0112928789937041,1
W_coverage_class,1,0,0.0211240373340462,0.0211240373340462,1
W_coverage_class,2,0.05,0.0190642732010403,0.0190642732010403,1
W_coverage_class,3,0.1,0.0171101523603887,0.0171101523603887,1
W_coverage_class,4,0.15,0.0152617100271607,0.0152617100271607,1
W_coverage_class,5,0.2,0.0135189634959132,0.0135189634959132,1
W_coverage_class,6,0.25,0.011881843493186,0.011881843493186,1
W_coverage_class,7,0.3,0.010350348189861,0.010350348189861,1
W_coverage_class,8,0.35,0.00892462622959867,0.00892462622959867,1
W_coverage_class,9,0.4,0.0076045150002406,0.0076045150002406,1
W_coverage_class,10,0.45,0.00639000431161462,0.00639000431161462,1
W_coverage_class,11,0.5,0.00528109416372064,0.00528109416372064,1
W_coverage_class,12,0.55,0.00427778455655855,0.00427778455655855,1
W_coverage_class,13,0.6,0.00338007549012853,0.00338007549012853,1
W_coverage_class,14,0.65,0.00258796696443052,0.00258796696443052,1
W_coverage_class,15,0.7,0.00190145897946446,0.00190145897946446,1
W_coverage_class,16,0.75,0.00132055153523043,0.00132055153523043,1
W_coverage_class,17,0.8,0.000845244631728362,0.000845244631728362,1
W_coverage_class,18,0.85,0.000475454936638935,0.000475454936638935,1
W_coverage_class,19,0.9,0.000211313305172858,0.000211313305172858,1
W_coverage_class,20,0.95,5.28283262932144e-05,5.28283262932144e-05,1
W_coverage_class,21,1,0,0,1
W_coverage_class,22,1.05,5.28283262932147e-05,5.28283262932147e-05,1
W_coverage_class,23,1.1,0.000211313305172857,0.000211313305172857,1
W_coverage_class,24,1.15,0.000475454936638932,0.000475454936638932,1
W_coverage_class,25,1.2,0.000845244631728361,0.000845244631728361,1
W_coverage_class,26,1.25,0.00132055153523042,0.00132055153523042,1
W_coverage_class,27,1.3,0.00190145897946446,0.00190145897946446,1
W_coverage_class,28,1.35,0.00258796696443049,0.00258796696443049,1
W_coverage_class,29,1.4,0.00338007549012853,0.00338007549012853,1
W_coverage_class,30,1.45,0.00427778455655854,0.00427778455655854,1
W_coverage_class,31,1.5,0.00528109416372061,0.00528109416372061,1
W_coverage_class,32,1.55,0.00639000431161467,0.00639000431161467,1
W_coverage_class,33,1.6,0.00760451500024069,0.00760451500024069,1
W_coverage_class,34,1.65,0.00892462622959868,0.00892462622959868,1
W_coverage_class,35,1.7,0.0103503481898611,0.0103503481898611,1
W_coverage_class,36,1.75,0.0118818434931861,0.0118818434931861,1
W_coverage_class,37,1.8,0.013518963495913,0.013518963495913,1
W_coverage_class,38,1.85,0.0152617100271608,0.0152617100271608,1
W_coverage_class,39,1.9,0.0171101523603885,0.0171101523603885,1
W_coverage_class,40,1.95,0.0190642732010403,0.0190642732010403,1
W_coverage_class,41,2,0.0211240373340462,0.0211240373340462,1
W_crack_class,1,0,0.012663469586353,0.012663469586353,1
W_crack_class,2,0.05,0.0114287527575765,0.0114287527575765,1
W_crack_class,3,0.1,0.0102573753024923,0.0102573753024923,1
W_crack_class,4,0.15,0.00914934040249631,0.00914934040249631,1
