variant_id,device,probe_role,metric,predicted_value,observed_value,residual,prediction_status
FB,AS004,secondary,width_T90_T10,NaN,0.239744289819529,NaN,completed
FB,AS004,secondary,low_temperature_residual_fraction,0.155485548125545,0.006011003792904,0.149474544332641,completed
FB,AS004,secondary,full_curve_residual,0.561326916295201,0.561326916295201,0,completed
FB,AS005,primary,T90,3.9758722859853,1.4912748622487,2.4845974237366,completed
FB,AS005,primary,T50,3.7487397649624,0.983134387351779,2.76560537761062,completed
FB,AS005,primary,T10,NaN,0.771634931186218,NaN,completed
FB,AS005,primary,width_T90_T10,NaN,0.71963993106248,NaN,completed
FB,AS005,primary,low_temperature_residual_fraction,0.264460083430391,0.0705827004048035,0.193877383025588,completed
FB,AS005,primary,full_curve_residual,0.328302502065424,0.328302502065424,0,completed
FB,AS006,primary,T90,NaN,0.325055716144821,NaN,completed
FB,AS006,primary,T50,NaN,0.131003401702494,NaN,completed
FB,AS006,primary,T10,0.186981179937207,NaN,NaN,completed
FB,AS006,primary,width_T90_T10,NaN,NaN,NaN,completed
FB,AS006,primary,low_temperature_residual_fraction,0.142484993545925,0.240527304807248,-0.0980423112613232,completed
FB,AS006,primary,full_curve_residual,0.700350311462419,0.700350311462419,0,completed
FB,AS006,secondary,T90,NaN,0.251268566586107,NaN,completed
FB,AS006,secondary,T50,NaN,0.137769554984506,NaN,completed
FB,AS006,secondary,T10,0.186981179937207,NaN,NaN,completed
FB,AS006,secondary,width_T90_T10,NaN,NaN,NaN,completed
FB,AS006,secondary,low_temperature_residual_fraction,0.142484993545925,0.270322822190663,-0.127837828644738,completed
FB,AS006,secondary,full_curve_residual,0.728231767807524,0.728231767807524,0,completed
FI,AS001,primary,T90,NaN,NaN,NaN,completed
FI,AS001,primary,T50,NaN,NaN,NaN,completed
FI,AS001,primary,T10,NaN,NaN,NaN,completed
FI,AS001,primary,width_T90_T10,NaN,NaN,NaN,completed
FI,AS001,primary,low_temperature_residual_fraction,0.11,0.979256160097062,-0.869256160097062,completed
FI,AS001,primary,full_curve_residual,0.782367361492379,0.782367361492379,0,completed
FI,AS001,secondary,T90,NaN,NaN,NaN,completed
FI,AS001,secondary,T50,NaN,NaN,NaN,completed
FI,AS001,secondary,T10,NaN,NaN,NaN,completed
FI,AS001,secondary,width_T90_T10,NaN,NaN,NaN,completed
FI,AS001,secondary,low_temperature_residual_fraction,0.11,0.997228417747567,-0.887228417747567,completed
FI,AS001,secondary,full_curve_residual,0.792275751433199,0.792275751433199,0,completed
FI,AS002,primary,T90,NaN,NaN,NaN,completed
FI,AS002,primary,T50,NaN,NaN,NaN,completed
FI,AS002,primary,T10,NaN,NaN,NaN,completed
FI,AS002,primary,width_T90_T10,NaN,NaN,NaN,completed
FI,AS002,primary,low_temperature_residual_fraction,0.09008493788914,0.982590688842325,-0.892505750953185,completed
FI,AS002,primary,full_curve_residual,0.820528725950377,0.820528725950377,0,completed
FI,AS003,primary,T90,NaN,NaN,NaN,completed
FI,AS003,primary,T50,NaN,NaN,NaN,completed
FI,AS003,primary,T10,NaN,NaN,NaN,completed
FI,AS003,primary,width_T90_T10,NaN,NaN,NaN,completed
FI,AS003,primary,low_temperature_residual_fraction,0.102725901499408,1.01301640329692,-0.910290501797512,completed
FI,AS003,primary,full_curve_residual,0.813226071782957,0.813226071782957,0,completed
FI,AS004,primary,T90,NaN,0.28964257619556,NaN,completed
FI,AS004,primary,T50,NaN,0.228018287884999,NaN,completed
FI,AS004,primary,T10,NaN,0.17524274694046,NaN,completed
FI,AS004,primary,width_T90_T10,NaN,0.1143998292551,NaN,completed
FI,AS004,primary,low_temperature_residual_fraction,0.0766551965314274,0.0140271649529004,0.062628031578527,completed
FI,AS004,primary,full_curve_residual,0.625500186164036,0.625500186164036,0,completed
FI,AS004,secondary,T90,NaN,0.409491992248819,NaN,completed
FI,AS004,secondary,T50,NaN,0.244885944807576,NaN,completed
FI,AS004,secondary,T10,NaN,0.169747702429291,NaN,completed
FI,AS004,secondary,width_T90_T10,NaN,0.239744289819529,NaN,completed
FI,AS004,secondary,low_temperature_residual_fraction,0.0766551965314274,0.006011003792904,0.0706441927385234,completed
FI,AS004,secondary,full_curve_residual,0.561351988527308,0.561351988527308,0,completed
FI,AS005,primary,T90,4.06695312192217,1.4912748622487,2.57567825967347,completed
FI,AS005,primary,T50,3.79924292236606,0.983134387351779,2.81610853501428,completed
FI,AS005,primary,T10,NaN,0.771634931186218,NaN,completed
FI,AS005,primary,width_T90_T10,NaN,0.71963993106248,NaN,completed
FI,AS005,primary,low_temperature_residual_fraction,0.196684461489483,0.0705827004048035,0.126101761084679,completed
FI,AS005,primary,full_curve_residual,0.328910381106716,0.328910381106716,0,completed
FI,AS006,primary,T90,NaN,0.325055716144821,NaN,completed
FI,AS006,primary,T50,NaN,0.131003401702494,NaN,completed
FI,AS006,primary,T10,NaN,NaN,NaN,completed
FI,AS006,primary,width_T90_T10,NaN,NaN,NaN,completed
FI,AS006,primary,low_temperature_residual_fraction,0.0608703933085871,0.240527304807248,-0.179656911498661,completed
FI,AS006,primary,full_curve_residual,0.710154318275353,0.710154318275353,0,completed
FI,AS006,secondary,T90,NaN,0.251268566586107,NaN,completed
FI,AS006,secondary,T50,NaN,0.137769554984506,NaN,completed
FI,AS006,secondary,T10,NaN,NaN,NaN,completed
FI,AS006,secondary,width_T90_T10,NaN,NaN,NaN,completed
FI,AS006,secondary,low_temperature_residual_fraction,0.0608703933085871,0.270322822190663,-0.209452428882076,completed
FI,AS006,secondary,full_curve_residual,0.738210228212079,0.738210228212079,0,completed
FBI,AS001,primary,T90,NaN,NaN,NaN,completed
FBI,AS001,primary,T50,NaN,NaN,NaN,completed
FBI,AS001,primary,T10,NaN,NaN,NaN,completed
FBI,AS001,primary,width_T90_T10,NaN,NaN,NaN,completed
FBI,AS001,primary,low_temperature_residual_fraction,0.199574658922059,0.979256160097062,-0.779681501175003,completed
FBI,AS001,primary,full_curve_residual,0.756264207026606,0.756264207026606,0,completed
FBI,AS001,secondary,T90,NaN,NaN,NaN,completed
FBI,AS001,secondary,T50,NaN,NaN,NaN,completed
FBI,AS001,secondary,T10,NaN,NaN,NaN,completed
FBI,AS001,secondary,width_T90_T10,NaN,NaN,NaN,completed
FBI,AS001,secondary,low_temperature_residual_fraction,0.199574658922059,0.997228417747567,-0.797653758825508,completed
FBI,AS001,secondary,full_curve_residual,0.765863831275276,0.765863831275276,0,completed
FBI,AS002,primary,T90,NaN,NaN,NaN,completed
FBI,AS002,primary,T50,NaN,NaN,NaN,completed
FBI,AS002,primary,T10,0.988870577581181,NaN,NaN,completed
FBI,AS002,primary,width_T90_T10,NaN,NaN,NaN,completed
FBI,AS002,primary,low_temperature_residual_fraction,0.18510437553855,0.982590688842325,-0.797486313303776,completed
FBI,AS002,primary,full_curve_residual,0.792783187770685,0.792783187770685,0,completed
FBI,AS003,primary,T90,NaN,NaN,NaN,completed
FBI,AS003,primary,T50,NaN,NaN,NaN,completed
FBI,AS003,primary,T10,NaN,NaN,NaN,completed
FBI,AS003,primary,width_T90_T10,NaN,NaN,NaN,completed
FBI,AS003,primary,low_temperature_residual_fraction,0.195822266015031,1.01301640329692,-0.817194137281889,completed
FBI,AS003,primary,full_curve_residual,0.784926979173858,0.784926979173858,0,completed
FBI,AS004,primary,T90,NaN,0.28964257619556,NaN,completed
FBI,AS004,primary,T50,NaN,0.228018287884999,NaN,completed
FBI,AS004,primary,T10,0.221907099948809,0.17524274694046,0.0466643530083487,completed
FBI,AS004,primary,width_T90_T10,NaN,0.1143998292551,NaN,completed
FBI,AS004,primary,low_temperature_residual_fraction,0.171251618444369,0.0140271649529004,0.157224453491468,completed
FBI,AS004,primary,full_curve_residual,0.62589823207594,0.62589823207594,0,completed
FBI,AS004,secondary,T90,NaN,0.409491992248819,NaN,completed
FBI,AS004,secondary,T50,NaN,0.244885944807576,NaN,completed
FBI,AS004,secondary,T10,0.221907099948809,0.169747702429291,0.0521593975195185,completed
FBI,AS004,secondary,width_T90_T10,NaN,0.239744289819529,NaN,completed
FBI,AS004,secondary,low_temperature_residual_fraction,0.171251618444369,0.006011003792904,0.165240614651465,completed
FBI,AS004,secondary,full_curve_residual,0.561514288528587,0.561514288528587,0,completed
FBI,AS005,primary,T90,4.00794523527365,1.4912748622487,2.51667037302495,completed
FBI,AS005,primary,T50,3.78571677826969,0.983134387351779,2.80258239091791,completed
FBI,AS005,primary,T10,NaN,0.771634931186218,NaN,completed
FBI,AS005,primary,width_T90_T10,NaN,0.71963993106248,NaN,completed
FBI,AS005,primary,low_temperature_residual_fraction,0.278015207818572,0.0705827004048035,0.207432507413769,completed
FBI,AS005,primary,full_curve_residual,0.331518029361442,0.331518029361442,0,completed
FBI,AS006,primary,T90,NaN,0.325055716144821,NaN,completed
FBI,AS006,primary,T50,NaN,0.131003401702494,NaN,completed
FBI,AS006,primary,T10,0.203525983281006,NaN,NaN,completed
FBI,AS006,primary,width_T90_T10,NaN,NaN,NaN,completed
FBI,AS006,primary,low_temperature_residual_fraction,0.158807913593392,0.240527304807248,-0.0817193912138557,completed
FBI,AS006,primary,full_curve_residual,0.698601896817871,0.698601896817871,0,completed
FBI,AS006,secondary,T90,NaN,0.251268566586107,NaN,completed
FBI,AS006,secondary,T50,NaN,0.137769554984506,NaN,completed
FBI,AS006,secondary,T10,0.203525983281006,NaN,NaN,completed
FBI,AS006,secondary,width_T90_T10,NaN,NaN,NaN,completed
FBI,AS006,secondary,low_temperature_residual_fraction,0.158807913593392,0.270322822190663,-0.111514908597271,completed
FBI,AS006,secondary,full_curve_residual,0.726448462444651,0.726448462444651,0,completed
