observable,lower16,median_value,upper84,envelope_width,uncertainty_type
RT_T50,-0.385854138132285,-0.0176762077738073,0.349277998407652,0.735132136539937,linearized_pseudo_posterior_prediction
RT_width,-0.369973482707517,0.0290732423098157,0.44265653228261,0.812630014990127,linearized_pseudo_posterior_prediction
RT_lowT_floor,-0.398078443483763,0.0324828773225736,0.496255228817265,0.894333672301028,linearized_pseudo_posterior_prediction
RT_probe_asymmetry,-0.33382161405392,-0.00697382583800851,0.31128395551482,0.64510556956874,linearized_pseudo_posterior_prediction
IT_Ic_temperature_scale,-0.393428442052632,0.0807247922538943,0.539244403866645,0.932672845919277,linearized_pseudo_posterior_prediction
IT_switching_width,-0.294305293235449,0.0549986915323699,0.386688962273446,0.680994255508896,linearized_pseudo_posterior_prediction
IT_low_current_curvature,-0.232945241716384,0.0472753411590431,0.303934789735836,0.53688003145222,linearized_pseudo_posterior_prediction
IT_channel_asymmetry,-0.255140197206664,0.0244992203956729,0.308365334483669,0.563505531690332,linearized_pseudo_posterior_prediction
IB_Ic_field_envelope,-0.356883327286087,0.098208878846123,0.607100145345098,0.963983472631185,linearized_pseudo_posterior_prediction
IB_low_current_field_response,-0.348717208041996,0.0596967497398794,0.534155478599313,0.882872686641309,linearized_pseudo_posterior_prediction
IB_high_current_field_response,-0.274993791305242,0.0200085978740517,0.376952435585205,0.651946226890447,linearized_pseudo_posterior_prediction
IB_R1_R2_difference,-0.25263341909002,0.0365606357503594,0.353629232929632,0.606262652019652,linearized_pseudo_posterior_prediction
