variant,channel,observed_mean_abs_Ic_A,predicted_mean_abs_Ic_A,mean_abs_Ic_error_A,Ic_envelope_correlation
P0,R1,3.39460539460539e-08,8.09999999999995e-07,7.76053946053946e-07,2.4550714328444e-15
P0,R2,4.22977022977022e-08,8.09999999999995e-07,7.67702297702299e-07,5.63927539519279e-15
PB,R1,3.39460539460539e-08,1.21288711288712e-07,1.10739260739261e-07,0.462215268657609
PB,R2,4.22977022977022e-08,1.24525474525475e-07,1.18791208791209e-07,0.362461726439644
Pphi,R1,3.39460539460539e-08,8.03296703296709e-08,7.23976023976026e-08,0.405152572043417
Pphi,R2,4.22977022977022e-08,8.31868131868137e-08,8.03296703296705e-08,0.316932486982815
