pair_id,theta_i,theta_j,profile_objective,objective_delta
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0,0.42029175471522,0.420247700439594
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.0833333333333333,0.376745799530165,0.376701745254538
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.166666666666667,0.338877517456777,0.33883346318115
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.25,0.306686908495057,0.306642854219431
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.333333333333333,0.279136761576223,0.279092707300597
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.416666666666667,0.253641419243059,0.253597364967432
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.5,0.230078361471764,0.230034307196138
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.583333333333333,0.20844758826234,0.208403533986713
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.666666666666667,0.188749099614785,0.188705045339158
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.75,0.170982895529099,0.170938841253473
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.833333333333333,0.155148976005284,0.155104921729657
Tc_heterogeneity_amplitude__W_coverage_class,0.35,0.916666666666667,0.141247341043338,0.141203286767711
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1,0.129277990643261,0.129233936367634
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.08333333333333,0.119187687292435,0.119143633016808
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.16666666666667,0.110082308238574,0.110038253962948
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.25,0.101672394128744,0.101628339853117
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.33333333333333,0.0939579449629422,0.0939138906873156
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.41666666666667,0.08693896074117,0.0868949064655433
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.5,0.0806154414634273,0.0805713871878007
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.58333333333333,0.0749873871297139,0.0749433328540872
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.66666666666667,0.07005479774003,0.0700107434644033
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.75,0.0658176732943753,0.0657736190187486
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.83333333333333,0.0622760137927501,0.0622319595171235
Tc_heterogeneity_amplitude__W_coverage_class,0.35,1.91666666666667,0.0594298295738794,0.0593857752982527
Tc_heterogeneity_amplitude__W_coverage_class,0.35,2,0.0572791482005237,0.0572350939248971
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0,0.357420592978105,0.357376538702478
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.0833333333333333,0.319993846398042,0.319949792122415
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.166666666666667,0.288244772929648,0.288200718654021
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.25,0.261026553987894,0.260982499712267
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.333333333333333,0.235829166348359,0.235785112072732
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.416666666666667,0.212564063270692,0.212520008995065
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.5,0.191231244754896,0.191187190479269
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.583333333333333,0.171830710800969,0.171786656525343
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.666666666666667,0.154362461408913,0.154318407133286
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.75,0.138826496578725,0.138782442303099
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.833333333333333,0.125222816310408,0.125178762034781
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,0.916666666666667,0.11355142060396,0.113507366328333
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1,0.103770691725459,0.103726637449832
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.08333333333333,0.0950030464002601,0.0949589921246335
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.16666666666667,0.0869308660190907,0.086886811743464
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.25,0.0795541505819508,0.0795100963063241
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.33333333333333,0.0728729000888404,0.0728288458132138
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.41666666666667,0.0668871145397592,0.0668430602641325
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.5,0.0615967939347074,0.0615527396590807
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.58333333333333,0.057001938273685,0.0569578839980584
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.66666666666667,0.053102547556692,0.0530584932810654
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.75,0.0498986217837284,0.0498545675081017
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.83333333333333,0.0473901786677507,0.0473461243921241
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,1.91666666666667,0.0455772331688613,0.0455331788932346
Tc_heterogeneity_amplitude__W_coverage_class,0.410416666666667,2,0.0444597734785517,0.0444157192029251
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0,0.302549895571452,0.302505841295826
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.0833333333333333,0.271242357596383,0.271198303320756
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.166666666666667,0.244350562410782,0.244306508135155
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.25,0.219451129464875,0.219407075189248
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.333333333333333,0.196483981080837,0.19643992680521
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.416666666666667,0.175449117258669,0.175405062983043
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.5,0.156346537998371,0.156302483722744
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.583333333333333,0.139176243299943,0.139132189024316
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.666666666666667,0.123938233163384,0.123894178887757
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.75,0.110632507588695,0.110588453313068
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.833333333333333,0.0992590665758755,0.0992150123002489
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,0.916666666666667,0.0897866328737906,0.0897425785981639
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1,0.0813567212772533,0.0813126670016267
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.08333333333333,0.0736222746247456,0.073578220349119
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.16666666666667,0.0665832929162673,0.0665392386406406
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.25,0.0602397761518185,0.0601957218761918
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.33333333333333,0.0545917243313989,0.0545476700557722
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.41666666666667,0.0496391374550087,0.0495950831793821
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.5,0.0453820155226479,0.0453379612470213
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.58333333333333,0.0418203585343166,0.04177630425869
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.66666666666667,0.0389541664900146,0.038910112214388
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.75,0.0367834644409461,0.0367394101653195
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.83333333333333,0.035308254816523,0.0352642005408963
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,1.91666666666667,0.0345285310006796,0.034484476725053
Tc_heterogeneity_amplitude__W_coverage_class,0.470833333333333,2,0.034444292993416,0.0344002387177894
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0,0.255679662495264,0.255635608219637
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.0833333333333333,0.229108786844886,0.22906473256926
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.166666666666667,0.204507308592608,0.204463254316981
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.25,0.181838114902199,0.181794060626572
