activation_law,mechanism,model_level,case_family,basis_caseName,basis_gammaW,basis_pW,basis_alpha_gap,seed,lambda_B,q,mean_raw_score,joint_penalized_score,lambdaW_AS002,lambdaW_AS004,lambdaW_AS006,score_AS002,score_AS004,score_AS006,policy
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_1_p0_3,0.1,0.3,3.3,909,0.65,1,0.324079419005248,0.344079419005248,0.04875,0.325,0.65,0.266113995810076,0.356252114809851,0.349872146395817,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,505,0.25,1,0.324092743625037,0.344092743625037,0.01875,0.125,0.25,0.256989067136214,0.352665687966878,0.362623475772021,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,808,0.25,3,0.324096436416867,0.344096436416867,0.00010546875,0.03125,0.25,0.255029944010488,0.352268296521878,0.364991068718236,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,202,0.35,3,0.314181555429434,0.344181555429434,0.00014765625,0.04375,0.35,0.255065395847443,0.349457099312251,0.338022171128607,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,808,0.3,0.5,0.324223981804634,0.344223981804634,0.0821583836257749,0.212132034355964,0.3,0.257807379392386,0.358306620016362,0.356557946005155,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,606,0.35,1.25,0.314230804751883,0.344230804751883,0.0137370862045214,0.1471568726694,0.35,0.259471734030395,0.35116865083029,0.332052029394966,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,808,0.25,2.5,0.324243628708261,0.344243628708261,0.00038511742324582,0.0441941738241592,0.25,0.255039409927948,0.352700407478599,0.364991068718236,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,505,0.35,2.5,0.314261520567811,0.344261520567811,0.000539164392544148,0.0618718433538229,0.35,0.255191924484407,0.350185666486102,0.337406970732925,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,505,0.35,2,0.314264324520137,0.344264324520137,0.00196875,0.0875,0.35,0.255630878990887,0.349755123836598,0.337406970732925,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.35,1.5,0.314276737634007,0.344276737634007,0.0071888585672553,0.123743686707646,0.35,0.257324944361898,0.345483078505835,0.340022190034288,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.35,2,0.314280975896891,0.344280975896891,0.00196875,0.0875,0.35,0.255655863393202,0.347164874263183,0.340022190034288,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_7_p0_3,crack_tunnel_a3_7_g0_05_p0_3,0.05,0.3,3.7,606,0.25,0.75,0.324308726476137,0.344308726476137,0.0358291047076638,0.14865088937534,0.25,0.262917936311216,0.350664129652089,0.359344113465107,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,505,0.35,3,0.314322929562676,0.344322929562676,0.00014765625,0.04375,0.35,0.255071711841948,0.350490106113156,0.337406970732925,one full-series coefficient set; no crack term; no per-device lambda
binary_geometry_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,808,0.1,NaN,0.334421699082169,0.344421699082169,0.1,0.1,0.1,0.258411305976384,0.35456335441264,0.390290436857481,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.25,2,0.324428936583898,0.344428936583898,0.00140625,0.0625,0.25,0.255397275588238,0.350233675441138,0.367655858722318,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.25,2.5,0.324435953950325,0.344435953950325,0.00038511742324582,0.0441941738241592,0.25,0.255127949557836,0.35052405357082,0.367655858722318,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_7_p0_3,crack_tunnel_a3_7_g0_05_p0_3,0.05,0.3,3.7,606,0.3,0.5,0.32444279799357,0.34444279799357,0.0821583836257749,0.212132034355964,0.3,0.273122221236006,0.350424573043306,0.349781599701399,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,1010,0.35,1,0.31444294531639,0.34444294531639,0.02625,0.175,0.35,0.258134409001926,0.352518217096411,0.332676209850832,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,1010,0.4,0.5,0.314449277565298,0.344449277565298,0.109544511501033,0.282842712474619,0.4,0.267996590340144,0.35331509999532,0.32203614236043,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,808,0.25,2,0.324458849314565,0.344458849314565,0.00140625,0.0625,0.25,0.255073974571417,0.353311504654043,0.364991068718236,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_1_p0_3,0.1,0.3,3.3,909,0.55,1.25,0.324474387166253,0.344474387166254,0.0215868497499622,0.231246514194772,0.55,0.259936052464574,0.354801957117165,0.358685151917021,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.25,3,0.324479810741498,0.344479810741498,0.00010546875,0.03125,0.25,0.255054191586749,0.350729381915426,0.367655858722318,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,808,0.4,1,0.314497419861913,0.344497419861913,0.03,0.2,0.4,0.259614492267861,0.356445327148274,0.327432440169605,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,505,0.55,0.5,0.314505659980445,0.344505659980445,0.150623703313921,0.388908729652601,0.55,0.301275407956098,0.344691579281294,0.297549992703942,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.35,2.5,0.314525013408945,0.344525013408945,0.000539164392544148,0.0618718433538229,0.35,0.255198766744774,0.348354083447774,0.340022190034288,one full-series coefficient set; no crack term; no per-device lambda
