synthetic_id,evidence_config,true_model,candidate_model,seed,primary_score,primary_curve_score,primary_onset_score,primary_width_score,primary_lowT_score,secondary_score,total_score,complexity_K,penalized_score,structured_candidate,selected_model,selected_score,run_status,second_best_model,second_best_score,selection_margin,unresolved
misspec_primary_only_M0_shifted_broadened_seed_0001,misspec_primary_only,M0_shifted_broadened,M0,1,0.183114894170801,0.00244369512036516,0.361344537815126,0.704212344493922,0.0266152491566974,NaN,0.183114894170801,0,0.183114894170801,0,M1,0.040710915750536,scored,M2,0.168797814470005,0.128086898719469,0
misspec_primary_only_M0_shifted_broadened_seed_0001,misspec_primary_only,M0_shifted_broadened,M1,1,0.030710915750536,0.00471922647361098,0.0516206482593035,0.00347970304711533,0.11670144936535,NaN,0.030710915750536,1,0.040710915750536,1,M1,0.040710915750536,scored,M2,0.168797814470005,0.128086898719469,0
misspec_primary_only_M0_shifted_broadened_seed_0001,misspec_primary_only,M0_shifted_broadened,M2,1,0.148797814470005,0.0279672646576363,0.154861944777911,0.405667913328312,0.286610707909052,NaN,0.148797814470005,2,0.168797814470005,1,M1,0.040710915750536,scored,M2,0.168797814470005,0.128086898719469,0
misspec_primary_only_M0_shifted_broadened_seed_0002,misspec_primary_only,M0_shifted_broadened,M0,2,0.185559102360986,0.00236313465527015,0.206482593037215,0.914843593453453,0.0390298493859358,NaN,0.185559102360986,0,0.185559102360986,0,M1,0.10133437495963,scored,M2,0.166111673082742,0.0647772981231115,0
misspec_primary_only_M0_shifted_broadened_seed_0002,misspec_primary_only,M0_shifted_broadened,M1,2,0.0913343749596301,0.00455637236154703,0.206482593037215,0.214110952006646,0.104286849136111,NaN,0.0913343749596301,1,0.10133437495963,1,M1,0.10133437495963,scored,M2,0.166111673082742,0.0647772981231115,0
misspec_primary_only_M0_shifted_broadened_seed_0002,misspec_primary_only,M0_shifted_broadened,M2,2,0.146111673082742,0.0275639587285761,0.309723889555823,0.195036664368781,0.274196107679813,NaN,0.146111673082742,2,0.166111673082742,1,M1,0.10133437495963,scored,M2,0.166111673082742,0.0647772981231115,0
misspec_primary_only_M0_shifted_broadened_seed_0003,misspec_primary_only,M0_shifted_broadened,M0,3,0.22769652345101,0.00206317056431273,0.567827130852341,0.747290388762203,0.00670635789369693,NaN,0.22769652345101,0,0.22769652345101,0,M1,0.0719881375225888,scored,M2,0.147313623348001,0.0753254858254125,0
misspec_primary_only_M0_shifted_broadened_seed_0003,misspec_primary_only,M0_shifted_broadened,M1,3,0.0619881375225888,0.007081070750889,0.154861944777912,0.0465577473153963,0.13661034062835,NaN,0.0619881375225888,1,0.0719881375225888,1,M1,0.0719881375225888,scored,M2,0.147313623348001,0.0753254858254125,0
misspec_primary_only_M0_shifted_broadened_seed_0003,misspec_primary_only,M0_shifted_broadened,M2,3,0.127313623348001,0.0332461469226563,0.0516206482593042,0.362589869060031,0.306519599172052,NaN,0.127313623348001,2,0.147313623348001,1,M1,0.0719881375225888,scored,M2,0.147313623348001,0.0753254858254125,0
misspec_primary_only_M0_shifted_broadened_seed_0004,misspec_primary_only,M0_shifted_broadened,M0,4,0.257110815450391,0.0159794443470168,0.464585834333734,0.845343342990054,0.196016166410851,NaN,0.257110815450391,0,0.257110815450391,0,M1,0.0503311322590083,scored,M2,0.0904955287642783,0.04016439650527,0
misspec_primary_only_M0_shifted_broadened_seed_0004,misspec_primary_only,M0_shifted_broadened,M1,4,0.0403311322590083,0.000820954384679535,0.0516206482593042,0.144610701543247,0.052699467888804,NaN,0.0403311322590083,1,0.0503311322590083,1,M1,0.0503311322590083,scored,M2,0.0904955287642783,0.04016439650527,0
misspec_primary_only_M0_shifted_broadened_seed_0004,misspec_primary_only,M0_shifted_broadened,M2,4,0.0704955287642783,0.00581878657871193,0.0516206482593035,0.26453691483218,0.117209790654898,NaN,0.0704955287642783,2,0.0904955287642783,1,M1,0.0503311322590083,scored,M2,0.0904955287642783,0.04016439650527,0
misspec_primary_only_M0_shifted_broadened_seed_0005,misspec_primary_only,M0_shifted_broadened,M0,5,0.313216452607067,0.00280975661665899,0.98079231692677,0.730039046732033,0.0409816926905223,NaN,0.313216452607067,0,0.313216452607067,0,M1,0.145975602009864,scored,M2,0.225203538588121,0.0792279365782566,0
misspec_primary_only_M0_shifted_broadened_seed_0005,misspec_primary_only,M0_shifted_broadened,M1,5,0.135975602009864,0.00532792834376681,0.567827130852341,0.0293064052852264,0.102335005831525,NaN,0.135975602009864,1,0.145975602009864,1,M1,0.145975602009864,scored,M2,0.225203538588121,0.0792279365782566,0
misspec_primary_only_M0_shifted_broadened_seed_0005,misspec_primary_only,M0_shifted_broadened,M2,5,0.205203538588121,0.0289471008031204,0.464585834333733,0.379841211090201,0.272244264375227,NaN,0.205203538588121,2,0.225203538588121,1,M1,0.145975602009864,scored,M2,0.225203538588121,0.0792279365782566,0
misspec_primary_only_M0_shifted_broadened_seed_0006,misspec_primary_only,M0_shifted_broadened,M0,6,0.184248552703265,0.00306727139707835,0.309723889555823,0.753496649329161,0.0516376112945809,NaN,0.184248552703265,0,0.184248552703265,0,M1,0.0542970411770001,scored,M2,0.166870693843871,0.112573652666871,0
misspec_primary_only_M0_shifted_broadened_seed_0006,misspec_primary_only,M0_shifted_broadened,M1,6,0.0442970411770001,0.00396463521361137,0.103241296518607,0.0527640078823539,0.0916790872274661,NaN,0.0442970411770001,1,0.0542970411770001,1,M1,0.0542970411770001,scored,M2,0.166870693843871,0.112573652666871,0
misspec_primary_only_M0_shifted_broadened_seed_0006,misspec_primary_only,M0_shifted_broadened,M2,6,0.146870693843871,0.0257567641935842,0.206482593037215,0.356383608493073,0.261588345771168,NaN,0.146870693843871,2,0.166870693843871,1,M1,0.0542970411770001,scored,M2,0.166870693843871,0.112573652666871,0
misspec_primary_only_M0_shifted_broadened_seed_0007,misspec_primary_only,M0_shifted_broadened,M0,7,0.319184036076796,0.00757700688592274,0.877551020408163,0.822596394098591,0.109972462916092,NaN,0.319184036076796,0,0.319184036076796,0,M1,0.126439374636175,scored,M2,0.17273026313028,0.0462908884941055,0
misspec_primary_only_M0_shifted_broadened_seed_0007,misspec_primary_only,M0_shifted_broadened,M1,7,0.116439374636175,0.000482019061534922,0.464585834333733,0.121863752651784,0.033344235605955,NaN,0.116439374636175,1,0.126439374636175,1,M1,0.126439374636175,scored,M2,0.17273026313028,0.0462908884941055,0
misspec_primary_only_M0_shifted_broadened_seed_0007,misspec_primary_only,M0_shifted_broadened,M2,7,0.15273026313028,0.0137615037725204,0.361344537815125,0.287283863723644,0.203253494149657,NaN,0.15273026313028,2,0.17273026313028,1,M1,0.126439374636175,scored,M2,0.17273026313028,0.0462908884941055,0
misspec_primary_only_M0_shifted_broadened_seed_0008,misspec_primary_only,M0_shifted_broadened,M0,8,0.316355152905857,0.00254051271261853,0.98079231692677,0.758909017567307,0.0339338701939875,NaN,0.316355152905857,0,0.316355152905857,0,M1,0.151181476074528,scored,M2,0.221622233670667,0.0704407575961387,0
misspec_primary_only_M0_shifted_broadened_seed_0008,misspec_primary_only,M0_shifted_broadened,M1,8,0.141181476074528,0.00496433847355193,0.567827130852341,0.0581763761204998,0.10938282832806,NaN,0.141181476074528,1,0.151181476074528,1,M1,0.151181476074528,scored,M2,0.221622233670667,0.0704407575961387,0
misspec_primary_only_M0_shifted_broadened_seed_0008,misspec_primary_only,M0_shifted_broadened,M2,8,0.201622233670667,0.0283311354698337,0.464585834333733,0.350971240254927,0.279292086871761,NaN,0.201622233670667,2,0.221622233670667,1,M1,0.151181476074528,scored,M2,0.221622233670667,0.0704407575961387,0
misspec_primary_only_M0_shifted_broadened_seed_0009,misspec_primary_only,M0_shifted_broadened,M0,9,0.232438709369461,0.0026182005369149,0.464585834333734,0.896760153014433,0.0246561285472789,NaN,0.232438709369461,0,0.232438709369461,0,M1,0.0700376795259326,scored,M2,0.119866336299876,0.0498286567739436,0
misspec_primary_only_M0_shifted_broadened_seed_0009,misspec_primary_only,M0_shifted_broadened,M1,9,0.0600376795259326,0.00502067528542519,0.0516206482593042,0.196027511567626,0.118660569974768,NaN,0.0600376795259326,1,0.0700376795259326,1,M1,0.0700376795259326,scored,M2,0.119866336299876,0.0498286567739436,0
misspec_primary_only_M0_shifted_broadened_seed_0009,misspec_primary_only,M0_shifted_broadened,M2,9,0.0998663362998762,0.0285774332981496,0.0516206482593035,0.213120104807801,0.28856982851847,NaN,0.0998663362998762,2,0.119866336299876,1,M1,0.0700376795259326,scored,M2,0.119866336299876,0.0498286567739436,0
misspec_primary_only_M0_shifted_broadened_seed_0010,misspec_primary_only,M0_shifted_broadened,M0,10,0.209443840939908,0.0054902569843756,0.41296518607443,0.717658582441426,0.10971258577747,NaN,0.209443840939908,0,0.209443840939908,0,M1,0.0184387319290514,scored,M2,0.139336615199791,0.120897883270739,0
misspec_primary_only_M0_shifted_broadened_seed_0010,misspec_primary_only,M0_shifted_broadened,M1,10,0.00843873192905136,0.00171844773634366,0,0.0169259409946194,0.0336041127445775,NaN,0.00843873192905136,1,0.0184387319290514,1,M1,0.0184387319290514,scored,M2,0.139336615199791,0.120897883270739,0
misspec_primary_only_M0_shifted_broadened_seed_0010,misspec_primary_only,M0_shifted_broadened,M2,10,0.119336615199791,0.0186561977914123,0.103241296518608,0.392221675380808,0.203513371288279,NaN,0.119336615199791,2,0.139336615199791,1,M1,0.0184387319290514,scored,M2,0.139336615199791,0.120897883270739,0
misspec_primary_only_M0_shifted_broadened_seed_0011,misspec_primary_only,M0_shifted_broadened,M0,11,0.272812547859034,0.00194809205253912,0.877551020408163,0.624221083882994,0.0179675677912192,NaN,0.272812547859034,0,0.272812547859034,0,M1,0.136463581390767,scored,M2,0.225449398368928,0.088985816978161,0
misspec_primary_only_M0_shifted_broadened_seed_0011,misspec_primary_only,M0_shifted_broadened,M1,11,0.126463581390767,0.00653462255964782,0.464585834333733,0.0765115575638133,0.125349130730828,NaN,0.126463581390767,1,0.136463581390767,1,M1,0.136463581390767,scored,M2,0.225449398368928,0.088985816978161,0
misspec_primary_only_M0_shifted_broadened_seed_0011,misspec_primary_only,M0_shifted_broadened,M2,11,0.205449398368928,0.0320857126476742,0.361344537815125,0.48565917393924,0.29525838927453,NaN,0.205449398368928,2,0.225449398368928,1,M1,0.136463581390767,scored,M2,0.225449398368928,0.088985816978161,0
misspec_primary_only_M0_shifted_broadened_seed_0012,misspec_primary_only,M0_shifted_broadened,M0,12,0.178619878238618,0.00532313228996796,0.258103241296519,0.731515703682958,0.0974020552125783,NaN,0.178619878238618,0,0.178619878238618,0,M1,0.0532490719698861,scored,M2,0.169995624131146,0.11674655216126,0
misspec_primary_only_M0_shifted_broadened_seed_0012,misspec_primary_only,M0_shifted_broadened,M1,12,0.0432490719698861,0.001544054364922,0.154861944777911,0.0307830622361508,0.0459146433094688,NaN,0.0432490719698861,1,0.0532490719698861,1,M1,0.0532490719698861,scored,M2,0.169995624131146,0.11674655216126,0
misspec_primary_only_M0_shifted_broadened_seed_0012,misspec_primary_only,M0_shifted_broadened,M2,12,0.149995624131146,0.0184934149459506,0.258103241296518,0.378364554139276,0.215823901853171,NaN,0.149995624131146,2,0.169995624131146,1,M1,0.0532490719698861,scored,M2,0.169995624131146,0.11674655216126,0
misspec_primary_only_M0_shifted_broadened_seed_0013,misspec_primary_only,M0_shifted_broadened,M0,13,0.179392193237352,0.00419929447944222,0.361344537815126,0.640365449973558,0.0597921395904799,NaN,0.179392193237352,0,0.179392193237352,0,M1,0.0428776534737072,scored,M2,0.169463834449233,0.126586180975526,0
misspec_primary_only_M0_shifted_broadened_seed_0013,misspec_primary_only,M0_shifted_broadened,M1,13,0.0328776534737072,0.00193952252224836,0.0516206482593035,0.0603671914732486,0.0835245589315672,NaN,0.0328776534737072,1,0.0428776534737072,1,M1,0.0428776534737072,scored,M2,0.169463834449233,0.126586180975526,0
