sample_id,parameter,value,sample_weight,objective_value
1,Tc_scale,1.04189842495001,0.000115747556399038,4.16863069501159
1,Tc_heterogeneity_amplitude,0.392195743526769,0.000115747556399038,4.16863069501159
1,W_boundary_class,0.275464249256371,0.000115747556399038,4.16863069501159
1,W_coverage_class,1.54469607258552,0.000115747556399038,4.16863069501159
1,W_crack_class,1.72835683454671,0.000115747556399038,4.16863069501159
1,residual_shunt,1.26218046204172,0.000115747556399038,4.16863069501159
1,Ic0_scale,2.0357442222297,0.000115747556399038,4.16863069501159
1,B_supp_scale,1.49276671850739,0.000115747556399038,4.16863069501159
2,Tc_scale,0.961388569037037,3.81591380536319e-05,6.38792334118794
2,Tc_heterogeneity_amplitude,1.23299968053734,3.81591380536319e-05,6.38792334118794
2,W_boundary_class,0.634792312651486,3.81591380536319e-05,6.38792334118794
2,W_coverage_class,1.34628523495322,3.81591380536319e-05,6.38792334118794
2,W_crack_class,1.44454690536252,3.81591380536319e-05,6.38792334118794
2,residual_shunt,1.91084902082578,3.81591380536319e-05,6.38792334118794
2,Ic0_scale,1.44064313937047,3.81591380536319e-05,6.38792334118794
2,B_supp_scale,1.88888002830242,3.81591380536319e-05,6.38792334118794
3,Tc_scale,0.944917564282344,2.9037207045107e-05,6.93429784005435
3,Tc_heterogeneity_amplitude,1.56971106091563,2.9037207045107e-05,6.93429784005435
3,W_boundary_class,1.15247320553133,2.9037207045107e-05,6.93429784005435
3,W_coverage_class,1.20467973828798,2.9037207045107e-05,6.93429784005435
3,W_crack_class,1.97289786602268,2.9037207045107e-05,6.93429784005435
3,residual_shunt,1.05270930533635,2.9037207045107e-05,6.93429784005435
3,Ic0_scale,1.62873303245602,2.9037207045107e-05,6.93429784005435
3,B_supp_scale,1.37500174423263,2.9037207045107e-05,6.93429784005435
4,Tc_scale,1.09961924387479,0.000252316766863147,2.61008323946019
4,Tc_heterogeneity_amplitude,1.68878242817801,0.000252316766863147,2.61008323946019
4,W_boundary_class,1.81933460044348,0.000252316766863147,2.61008323946019
4,W_coverage_class,0.81171106363229,0.000252316766863147,2.61008323946019
4,W_crack_class,1.02354334194852,0.000252316766863147,2.61008323946019
4,residual_shunt,1.01910577044861,0.000252316766863147,2.61008323946019
4,Ic0_scale,0.743284920900501,0.000252316766863147,2.61008323946019
4,B_supp_scale,0.325255458934766,0.000252316766863147,2.61008323946019
5,Tc_scale,0.970528792362846,3.87742638366992e-06,10.9611105977028
5,Tc_heterogeneity_amplitude,1.1650793112765,3.87742638366992e-06,10.9611105977028
5,W_boundary_class,1.61728309712362,3.87742638366992e-06,10.9611105977028
5,W_coverage_class,0.378519627343058,3.87742638366992e-06,10.9611105977028
5,W_crack_class,1.15395732327401,3.87742638366992e-06,10.9611105977028
5,residual_shunt,0.709270433348598,3.87742638366992e-06,10.9611105977028
5,Ic0_scale,1.98088735840068,3.87742638366992e-06,10.9611105977028
5,B_supp_scale,2.13708898915435,3.87742638366992e-06,10.9611105977028
6,Tc_scale,1.06971039053421,0.000117399082538214,4.14029567339749
6,Tc_heterogeneity_amplitude,1.10859602996593,0.000117399082538214,4.14029567339749
6,W_boundary_class,1.47027511335637,0.000117399082538214,4.14029567339749
6,W_coverage_class,1.04592825205086,0.000117399082538214,4.14029567339749
