device,caseName,description,topology,linkClass,calibrationMode,alphaGap,alphaPriorPenalty,gammaW,pW,meanW,minW,activeWeakLinkFraction,medianWeakIc_A,medianAllIc_A,medianWeakDelta_meV,normalScaleApplied,shapeScore,shapeFullMap,shapeLowBias,shapeZeroBias,shapeAsymmetry,conductanceScore,conductanceFullMap,conductanceLowBias,conductanceZeroBias,conductanceAsymmetry,modelRN_top_4_10,modelRN_bottom_3_9
AS006,central_lane_gap_control,"central-lane topology with same gap-derived links",central_lane,boundary_constriction,conductance,3.7,0,0.01,0.08,0.920627450980392,0.01,0.472222222222222,1.1512047554517e-08,4.45701210803548e-07,0.123437703215043,146.08761463441,0.170650004832256,0.0692546197314658,0.138266473727332,0.395122512438927,0.0481259348583226,950.738576894151,1184.7369021806,1190.27844395591,1163.23926013463,31.9196301990147,295544.961817763,295544.961817763
AS006,anisotropic_gap_control,"anisotropic weak-link transparency",anisotropic,anisotropic,conductance,3.7,0,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,1.19090159193581e-08,4.47419294099762e-07,0.124396474867209,146.08761463441,0.192477897511724,0.218637965415828,0.263317220135456,0.18818760653276,0.047711878739795,0.188323160829926,0.184274421282701,0.229258013155307,0.247383379778879,0.0469106351215425,274.345373044018,268.223825446862
AS006,combined_a3_3_g0_003_p0_08,"combined weak-link classes, alpha=3.3, tau=0.003, p=0.08",combined,boundary_constriction,conductance,3.3,1,0.003,0.08,0.920066230936818,0.003,0.0801742919389978,3.09309676239496e-09,3.99175144011356e-07,0.110093086651255,145.480885865839,0.197841035948836,0.231275834133314,0.274219395480637,0.181135184935404,0.0516264223504939,0.202855414431544,0.2511978478765,0.292736445560887,0.162102791595528,0.0481619550552597,239.90399529792,237.205597972252
AS006,combined_a3_3_g0_01_p0_08,"combined weak-link classes, alpha=3.3, tau=0.01, p=0.08",combined,boundary_constriction,conductance,3.3,1,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,1.02675018729476e-08,3.97517296122083e-07,0.110093086651255,146.08761463441,0.198007553037196,0.232278746797459,0.274264651772105,0.181065607113133,0.05146386889592,0.202927059104815,0.251971907720284,0.292546525642793,0.162262028869752,0.0478794318417112,239.811758253583,237.532779488851
AS006,combined_a3_3_g0_03_p0_08,"combined weak-link classes, alpha=3.3, tau=0.03, p=0.08",combined,boundary_constriction,conductance,3.3,1,0.03,0.08,0.922230936819171,0.03,0.0801742919389978,3.04830637546515e-08,3.933947851909e-07,0.110093086651255,147.618513901284,0.198548036164413,0.235082050635146,0.275311888066402,0.180067731942548,0.0507776611425275,0.203319143711486,0.254084953635612,0.292927789272537,0.162027008671991,0.0473533728548912,239.66712894344,238.342369687085
AS006,combined_a3_7_g0_003_p0_08,"combined weak-link classes, alpha=3.7, tau=0.003, p=0.08",combined,boundary_constriction,conductance,3.7,0,0.003,0.08,0.920066230936818,0.003,0.0801742919389978,3.4680175820792e-09,4.47560009952126e-07,0.123437703215043,145.480885865839,0.199609205671278,0.238821756554773,0.274405823471653,0.181483516769378,0.0521596847645014,0.204654525170483,0.259240516197216,0.293245532047085,0.162101649537992,0.0482253666503084,239.536634617456,237.262926668656
AS006,combined_a3_7_g0_01_p0_08,"combined weak-link classes, alpha=3.7, tau=0.01, p=0.08",combined,boundary_constriction,conductance,3.7,0,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,1.1512047554517e-08,4.45701210803548e-07,0.123437703215043,146.08761463441,0.199741369201576,0.239698128353282,0.274437375137442,0.181427734092257,0.0519586435487512,0.204710926818369,0.259924370318954,0.293074245506226,0.162241223842057,0.0479488043344253,239.437749084721,237.563301755337
AS006,combined_a3_7_g0_03_p0_08,"combined weak-link classes, alpha=3.7, tau=0.03, p=0.08",combined,boundary_constriction,conductance,3.7,0,0.03,0.08,0.922230936819171,0.03,0.0801742919389978,3.41779805733972e-08,4.41079001577676e-07,0.123437703215043,147.618513901284,0.200232720712382,0.242240262938342,0.275557341947289,0.180374534895408,0.0512298235965499,0.205080684943983,0.261817385712493,0.293562684196508,0.161928319798172,0.0474409419158187,239.273363938045,238.356371792376
AS006,combined_a4_1_g0_003_p0_08,"combined weak-link classes, alpha=4.1, tau=0.003, p=0.08",combined,boundary_constriction,conductance,4.1,0.999999999999997,0.003,0.08,0.920066230936818,0.003,0.0801742919389978,3.84293840176344e-09,4.95944875892896e-07,0.136782319778832,145.480885865839,0.200803921163917,0.244001322784915,0.27443792935408,0.181748531324081,0.052566242509931,0.205861985949445,0.264754096682802,0.293520795901607,0.162101248146879,0.0482678800530134,239.269015270093,237.288402684652
AS006,combined_a4_1_g0_01_p0_08,"combined weak-link classes, alpha=4.1, tau=0.01, p=0.08",combined,boundary_constriction,conductance,4.1,0.999999999999997,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,1.27565932360864e-08,4.93885125485012e-07,0.136782319778832,146.08761463441,0.200908167922177,0.244705516731571,0.274504909453582,0.181658631119735,0.0523784424358779,0.205884832738144,0.26525286786897,0.293373359852579,0.162221251248132,0.0479913520195712,239.165900592572,237.60436671179
