device,caseName,description,topology,calibrationMode,gammaW,pW,meanW,minW,activeWeakLinkFraction,normalScaleApplied,shapeScore,shapeFullMap,shapeLowBias,shapeZeroBias,shapeAsymmetry,conductanceScore,conductanceFullMap,conductanceLowBias,conductanceZeroBias,conductanceAsymmetry,modelRN_top_4_10,modelRN_bottom_3_9
AS006,central_lane_g0_03_p0_03,"central-lane topology, \gamma_W=0.03, p_W=0.03",central_lane,conductance,0.03,0.03,0.970836601307189,0.03,0.347222222222222,166.357948017447,0.175577479558664,0.0703892092461086,0.141866488509616,0.408884719037646,0.0481259348583226,362.167869732945,449.10342404264,451.201981431283,448.019924318195,12.1075517195953,112128.576977265,112128.576977265
AS006,central_lane_g0_03_p0_08,"central-lane topology, \gamma_W=0.03, p_W=0.08",central_lane,conductance,0.03,0.08,0.922230936819171,0.03,0.486111111111111,147.759663668848,0.175580121711938,0.0703897461437145,0.141868603956068,0.408891896507626,0.0481259348583226,321.601976851143,398.786582026027,400.651909709655,397.863982889415,10.7524816260195,99592.9621581628,99592.9621581628
AS006,central_lane_g0_003_p0_03,"central-lane topology, \gamma_W=0.003, p_W=0.03",central_lane,conductance,0.003,0.03,0.970024836601307,0.003,0.347222222222222,165.32695007957,0.179608388278393,0.0713102361758907,0.145107271903597,0.419734435621166,0.0481259348583226,3613.70006298164,4471.87581765827,4492.57458502478,4491.34042730517,120.443439325124,1114336.63766979,1114336.63766979
AS006,central_lane_g0_003_p0_08,"central-lane topology, \gamma_W=0.003, p_W=0.08",central_lane,conductance,0.003,0.08,0.920066230936819,0.003,0.486111111111111,145.612980628154,0.179634024855812,0.0713150825990727,0.145124457006703,0.419809045647948,0.0481259348583226,3182.77394104784,3938.52378497505,3956.75531792891,3955.95538025527,106.079888569471,981460.549305693,981460.549305693
AS006,central_lane_g0_01_p0_03,"central-lane topology, \gamma_W=0.01, p_W=0.03",central_lane,conductance,0.01,0.03,0.970235294117647,0.01,0.347222222222222,165.611271162002,0.179695574564806,0.0713265907734424,0.145164552180441,0.419989904701194,0.0481259348583226,1085.5709361128,1343.19054382619,1349.42017728907,1349.59439802201,36.1858289543935,334875.905541828,334875.905541828
AS006,central_lane_g0_01_p0_08,"central-lane topology, \gamma_W=0.01, p_W=0.08",central_lane,conductance,0.01,0.08,0.920627450980392,0.01,0.486111111111111,146.229568011476,0.179705345292349,0.0713283454813861,0.145170909453154,0.420018683663215,0.0481259348583226,958.452325382146,1185.88173134045,1191.38367375464,1191.60725792021,31.9493940994054,295684.94137925,295684.94137925
AS006,anisotropic_g0_01_p0_08,"anisotropic weak transparency, \gamma_W=0.01, p_W=0.08",anisotropic,conductance,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,146.229568011476,0.184746481238112,0.182164189928427,0.2720038020756,0.175370383292404,0.0463485835143281,0.180476206416188,0.160566384330086,0.233275808564114,0.229505155295126,0.046700538644744,276.627633925317,266.690344189205
AS006,anisotropic_g0_003_p0_08,"anisotropic weak transparency, \gamma_W=0.003, p_W=0.08",anisotropic,conductance,0.003,0.08,0.920066230936819,0.003,0.0801742919389978,145.612980628154,0.184917192110267,0.182452796705975,0.273033762588557,0.174390449690508,0.0463360172022475,0.180790081646043,0.16065510785837,0.23254542384559,0.231059842383764,0.0475160056623587,278.063935531108,267.557712152429
AS006,anisotropic_g0_03_p0_08,"anisotropic weak transparency, \gamma_W=0.03, p_W=0.08",anisotropic,conductance,0.03,0.08,0.922230936819172,0.03,0.0801742919389978,147.759663668848,0.185162164457989,0.18364221882184,0.272106675694168,0.175451547867795,0.0466674861685649,0.18042000581707,0.161629697602335,0.23619590562447,0.224487391887454,0.0465182567808752,272.027635132638,267.110148330714
AS006,combined_g0_003_p0_08,"combined physical bottleneck, \gamma_W=0.003, p_W=0.08",combined,conductance,0.003,0.08,0.920066230936819,0.003,0.0801742919389978,145.612980628154,0.190305045180695,0.199996146464964,0.281309196789175,0.169172180223304,0.0477727597783239,0.194698113290996,0.213205390113987,0.294768741268839,0.157795794693825,0.0471951357532453,243.868943853883,238.881129499184
