mechanism,bestCaseName,bestSourceVersion,candidateCount,seedCount,seedModeCount,calibrationModesSeen,meanEvidenceScore,medianEvidenceScore,stdEvidenceScore,iqrEvidenceScore,seedToSeedStd,sigmaSeedEff,rankDistribution,meanRank,probabilityBeatsNoWeak,probabilityBeatsCentralLane,shapeProbabilityBeatsNoWeak,shapeProbabilityBeatsCentralLane,conductanceProbabilityBeatsNoWeak,conductanceProbabilityBeatsCentralLane,deltaVsNoWeakMean,deltaVsCentralLaneMean,ablationZ_vsNoWeak,ablationZ_vsCentralLane,bothProbeSurvivalRate,parameterBasinCount,seedCountGate,beatsNoWeakGate,beatsCentralLaneGate,ablationZGate,probeAsymmetryGate,bothCalibrationModeGate,parameterBasinGate,advanceGate
combined physical bottleneck,combined_a3_3_g0_05_p0_2,v7.4.6,1200,10,20,shape;conductance,0.195912772959087,0.196542499862397,0.0027428368748785,0.00484874087506326,0.00273787502302908,0.005,1:4;2:12;3:4,2,1,1,1,1,1,1,-0.0601749903550244,-560.246844885665,-12.0349980710049,-112049.368977133,1,48,1,1,1,1,1,1,1,1
crack/tunnel-like weak links,crack_tunnel_a3_3_g0_05_p0_3,v7.4.6,1200,10,20,shape;conductance,0.196385979236626,0.196776350776603,0.00423353233930268,0.00604697478415875,0.00367024120983692,0.005,1:6;2:3;3:9;4:2,2.35,1,1,1,1,1,1,-0.0597017840774853,-560.246371679387,-11.9403568154971,-112049.274335877,0.85,43,1,1,1,1,1,1,1,1
contact-relaxed weak links,contact_relaxed_a3_3_g0_4_p0_3,v7.4.6,1200,10,20,shape;conductance,0.198505271460006,0.197328460916678,0.00539946855264854,0.0103414252714223,0.00286024942131157,0.005,1:9;2:1;4:1;5:9,3,1,1,1,1,1,1,-0.0575824918541055,-560.244252387164,-11.5164983708211,-112048.850477433,1,33,1,1,1,1,1,1,1,1
anisotropic control,anisotropic_gap_control,v7.4.6,20,10,20,shape;conductance,0.198644615536192,0.199275283309745,0.00400493570409953,0.0044445689357035,0.00242073912549813,0.005,1:1;2:4;3:7;4:8,3.1,1,1,1,1,1,1,-0.057443147777919,-560.244113043088,-11.4886295555838,-112048.822608618,1,1,1,1,1,1,1,1,0,0
boundary/SNS-inspired constriction,boundary_sns_a3_3_g0_1_p0_3,v7.4.6,1200,10,20,shape;conductance,0.218353996161744,0.217025013849608,0.018022354265551,0.03388206691761,0.00285679115149174,0.005,4:9;5:1;6:10,5.05,1,1,1,1,1,1,-0.0377337671523672,-560.224403662462,-7.54675343047344,-112044.880732492,1,57,1,1,1,1,1,1,1,1
shuffled weak links,shuffled_tau_control,v7.4.6,20,10,20,shape;conductance,0.223636153065294,0.222087378559839,0.0054144901079777,0.00888703004767025,0.0031498265940026,0.005,5:10;6:10,5.5,1,1,1,1,1,1,-0.0324516102488166,-560.219121505559,-6.49032204976332,-112043.824301112,0.65,1,1,1,1,1,0,1,0,0
uniform weak links,uniform_tau_control,v7.4.6,20,10,20,shape;conductance,0.24158326190519,0.239488156116285,0.0188667713618313,0.0365957290914922,0.00305550457215999,0.005,7:20,7,1,1,1,1,1,1,-0.0145045014089207,-560.201174396719,-2.90090028178414,-112040.234879344,1,1,1,1,1,1,1,1,0,0
no weak links,bulk_AB_reference,v7.4.6,20,10,20,shape;conductance,0.256087763314111,0.253557500553492,0.0323597571982754,0.0627885615263915,0.00313283941631166,0.005,8:20,8,0,1,0,1,0,1,0,-560.18666989531,0,-112037.333979062,1,1,1,0,1,0,1,0,0,0
central-lane / 1D-like,central_lane_gap_control,v7.4.6,20,10,20,shape;conductance,560.442757658624,545.080130272219,574.801784200152,1113.24980946607,10.1557807020309,10.1557807020309,9:20,9,0,0,0,0,0,0,560.18666989531,0,55.1593901376076,0,0.5,1,1,0,0,1,0,0,0,0
